0 39.0 30.168
1 39.0 30.143
2 39.0 30.118
3 39.0 30.101
4 39.0 30.075
5 39.0 30.05
6 39.0 30.024
7 39.0 29.999
8 38.0 29.973
9 38.0 29.948
10 38.0 29.922
11 38.0 29.897
12 38.0 29.871
13 38.0 29.846
14 38.0 29.82
15 38.0 29.795
16 38.0 29.778
17 38.0 29.752
18 38.0 29.727
19 38.0 29.701
20 38.0 29.676
21 38.0 29.65
22 39.0 29.625
23 38.0 29.599
24 38.0 29.574
25 38.0 29.548
26 38.0 29.523
27 38.0 29.506
28 38.0 29.48
29 38.0 29.455
30 38.0 29.429
31 38.0 29.404
32 38.0 29.378
33 38.0 29.353
34 38.0 29.327
35 38.0 29.302
36 38.0 29.285
37 38.0 29.259
38 38.0 29.234
39 38.0 29.208
40 38.0 29.183
41 38.0 29.157
42 38.0 29.132
43 38.0 29.115
44 38.0 29.089
45 38.0 29.064
46 38.0 29.038
47 38.0 29.013
48 38.0 28.987
49 38.0 28.962
50 38.0 28.936
51 38.0 28.919
52 38.0 28.894
53 38.0 28.868
54 38.0 28.843
55 38.0 28.817
56 38.0 28.792
57 38.0 28.766
58 38.0 28.749
59 38.0 28.724
60 38.0 28.698
61 38.0 28.673
62 37.0 28.647
63 37.0 28.622
64 37.0 28.605
65 37.0 28.579
66 37.0 28.554
67 37.0 28.528
68 37.0 28.503
69 37.0 28.477
70 37.0 28.452
71 37.0 28.435
72 37.0 28.409
73 37.0 28.384
74 37.0 28.358
75 37.0 28.333
76 37.0 28.307
77 37.0 28.29
78 37.0 28.265
79 37.0 28.239
80 37.0 28.214
81 37.0 28.188
82 37.0 28.171
83 37.0 28.146
84 38.0 28.12
85 37.0 28.095
86 37.0 28.069
87 37.0 28.044
88 37.0 28.027
89 37.0 28.001
90 37.0 27.976
91 37.0 27.95
92 37.0 27.925
93 37.0 27.908
94 37.0 27.882
95 37.0 27.857
96 37.0 27.832
97 37.0 27.806
98 37.0 27.789
99 37.0 27.764
100 37.0 27.738
101 37.0 27.713
102 37.0 27.687
103 37.0 27.67
104 37.0 27.645
105 37.0 27.619
106 37.0 27.594
107 36.0 27.577
108 36.0 27.551
109 36.0 27.526
110 36.0 27.5
111 36.0 27.475
112 36.0 27.458
113 36.0 27.432
114 36.0 27.407
115 37.0 27.381
116 36.0 27.364
117 36.0 27.339
118 36.0 27.313
